Card ID,Non-Foil,Foil,Hyperspace,F-Hyperspace,Playset,Total,Tradeable,Missing,Rarity,Unique,Aspect(s),Unnamed: 12,Card Name,Cost,Power,HP,Arena,Keyword(s),Type(s),Trait(s),Restricted,Banned,Errata,SET NAME,SPARK OF REBELLION,Source_Sheet,Pilot HP,Legends of the Force
001,nan,nan,nan,nan,nan,0,NO,1,C,nan,Vigilance,Villainy,Director Krennic,5.0,2.0,7.0,Ground,Restore 2,"Leader, Leader Unit","Imperial, Official",nan,nan,nan,Highlight Missing Cards,False,SOR,,
002,nan,nan,nan,nan,nan,0,NO,1,R,nan,Vigilance,Villainy,Iden Versio,6.0,4.0,4.0,Ground,Shielded,"Leader, Leader Unit","Imperial, Trooper",nan,nan,nan,"C = Common
U = Uncommon
R = Rare ","S = Special
L = Legendary",SOR,,
003,nan,nan,nan,nan,nan,0,NO,1,C,nan,Vigilance,Heroism,Chewbacca,7.0,2.0,9.0,Ground,"Sentinel, Grit","Leader, Leader Unit","Underworld, Wookiee",nan,nan,nan,"H = Hyperspace
SC = Showcase",nan,SOR,,
004,nan,nan,nan,nan,nan,0,NO,1,R,nan,Vigilance,Heroism,Chirrut Îmwe,5.0,3.0,5.0,Ground,nan,"Leader, Leader Unit","Force, Rebel",nan,nan,nan,Cards needed for a Playset,712,SOR,,
005,nan,nan,nan,nan,nan,0,NO,1,S,nan,Vigilance,Heroism,Luke Skywalker,6.0,4.0,7.0,Ground,nan,"Leader, Leader Unit","Force, Rebel",nan,nan,nan,"(Only 1x of Leaders, Base, and SCs)",nan,SOR,,
006,nan,nan,nan,nan,nan,0,NO,1,R,nan,Command,Villainy,Emperor Palpatine,8.0,4.0,10.0,Ground,nan,"Leader, Leader Unit","Force, Imperial, Sith, Official",nan,nan,nan,Total Numbers of cards:,Cards to Complete Set,SOR,,
007,nan,nan,nan,nan,nan,0,NO,1,C,nan,Command,Villainy,Grand Moff Tarkin,5.0,2.0,7.0,Ground,nan,"Leader, Leader Unit","Imperial, Official",nan,nan,nan,#REF!,16,SOR,,
008,nan,nan,nan,nan,nan,0,NO,1,R,nan,Command,Heroism,Hera Syndulla,6.0,4.0,6.0,Ground,nan,"Leader, Leader Unit","Rebel, Twi'lek, Spectre",nan,nan,nan,Short of Playsets,Percentage Complete:,SOR,,
009,nan,nan,nan,nan,nan,0,NO,1,C,nan,Command,Heroism,Leia Organa,5.0,3.0,6.0,Ground,Raid 1,"Leader, Leader Unit","Rebel, Official",nan,nan,nan,696,0.02247191011,SOR,,
010,nan,nan,nan,nan,nan,0,NO,1,S,nan,Aggression,Villainy,Darth Vader,7.0,5.0,8.0,Ground,nan,"Leader, Leader Unit","Force, Imperial, Sith",nan,nan,nan,nan,nan,SOR,,
011,nan,nan,nan,nan,nan,0,NO,1,R,nan,Aggression,Villainy,Grand Inquisitor,6.0,3.0,6.0,Ground,nan,"Leader, Leader Unit","Force, Imperial, Inquisitor",nan,nan,nan,nan,nan,SOR,,
012,nan,nan,nan,nan,nan,0,NO,1,C,nan,Aggression,Villainy,IG-88,5.0,5.0,4.0,Ground,nan,"Leader, Leader Unit","Underworld, Droid, Bounty Hunter",nan,nan,nan,nan,nan,SOR,,
013,nan,nan,nan,nan,nan,0,NO,1,R,nan,Aggression,Heroism,Cassian Andor,6.0,4.0,6.0,Ground,Saboteur,"Leader, Leader Unit",Rebel,nan,nan,nan,nan,nan,SOR,,
014,nan,nan,nan,nan,nan,0,NO,1,C,nan,Aggression,Heroism,Sabine Wren,4.0,2.0,5.0,Ground,nan,"Leader, Leader Unit","Mandalorian, Rebel, Spectre",nan,nan,nan,nan,nan,SOR,,
015,nan,nan,nan,nan,nan,0,NO,1,C,nan,Cunning,Villainy,Boba Fett,5.0,4.0,7.0,Ground,nan,"Leader, Leader Unit","Underworld, Bounty Hunter",nan,nan,nan,nan,nan,SOR,,
016,nan,nan,nan,nan,nan,0,NO,1,R,nan,Cunning,Villainy,Grand Admiral Thrawn,6.0,3.0,9.0,Ground,nan,"Leader, Leader Unit","Imperial, Official",nan,nan,nan,nan,nan,SOR,,
017,nan,nan,nan,nan,nan,0,NO,1,R,nan,Cunning,Heroism,Han Solo,6.0,4.0,6.0,Ground,nan,"Leader, Leader Unit",Underworld,nan,nan,nan,nan,nan,SOR,,
018,nan,nan,nan,nan,nan,0,NO,1,C,nan,Cunning,Heroism,Jyn Erso,6.0,4.0,7.0,Ground,nan,"Leader, Leader Unit",Rebel,nan,nan,nan,nan,nan,SOR,,
019,nan,nan,nan,nan,nan,0,NO,1,R,nan,Vigilance,nan,Security Complex,nan,nan,25.0,nan,nan,Base,nan,nan,nan,nan,nan,nan,SOR,,
020,nan,nan,nan,nan,nan,0,NO,1,C,nan,Vigilance,nan,Capital City,nan,nan,30.0,nan,nan,Base,nan,nan,nan,nan,nan,nan,SOR,,
021,nan,nan,nan,nan,nan,0,NO,1,C,nan,Vigilance,nan,Dagobah Swamp,nan,nan,30.0,nan,nan,Base,nan,nan,nan,nan,nan,nan,SOR,,
022,nan,nan,nan,nan,nan,0,NO,1,R,nan,Command,nan,Energy Conversion Lab,nan,nan,25.0,nan,nan,Base,nan,nan,nan,nan,nan,nan,SOR,,
023,nan,nan,nan,nan,nan,0,NO,1,C,nan,Command,nan,Command Center,nan,nan,30.0,nan,nan,Base,nan,nan,nan,nan,nan,nan,SOR,,
024,nan,nan,nan,nan,nan,0,NO,1,C,nan,Command,nan,Echo Base,nan,nan,30.0,nan,nan,Base,nan,nan,nan,nan,nan,nan,SOR,,
025,nan,nan,nan,nan,nan,0,NO,1,R,nan,Aggression,nan,Tarkintown,nan,nan,25.0,nan,nan,Base,nan,nan,nan,nan,nan,nan,SOR,,
026,nan,nan,nan,nan,nan,0,NO,1,C,nan,Aggression,nan,Catacombs of Cadera,nan,nan,30.0,nan,nan,Base,nan,nan,nan,nan,nan,nan,SOR,,
027,nan,nan,nan,nan,nan,0,NO,1,C,nan,Aggression,nan,Kestro City,nan,nan,30.0,nan,nan,Base,nan,nan,nan,nan,nan,nan,SOR,,
028,nan,nan,nan,nan,nan,0,NO,1,R,nan,Cunning,nan,Jedha City,nan,nan,25.0,nan,nan,Base,nan,nan,nan,nan,nan,nan,SOR,,
029,nan,nan,nan,nan,nan,0,NO,1,C,nan,Cunning,nan,Administrator's Tower,nan,nan,30.0,nan,nan,Base,nan,nan,nan,nan,nan,nan,SOR,,
030,nan,nan,nan,nan,nan,0,NO,1,C,nan,Cunning,nan,Chopper Base,nan,nan,30.0,nan,nan,Base,nan,nan,nan,nan,nan,nan,SOR,,
